Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:34:51,"3.1107317, 101.6180967",198 meter,
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:41,"3.11079, 101.6142133",163 meter,23
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-02 13:39:59,"3.1091283, 101.611545",165 meter,1
30,POH KONG – JLN SS 2/55,"3.1172868, 101.6209125",2019-06-02 13:30:26,"3.118255, 101.6195283",187 meter,Sequence
31,AUTO FILM – JLNSS 2/24,"3.11521642915048, 101.621698417829",2019-06-02 13:32:01,"3.1162971, 101.621919",122 meter,30
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",2019-06-02 13:33:31,"3.1141583, 101.620965",47 meter,31
32,PETRON SEAPARK – JLN SS2/24,"3.11113995129121, 101.618514744918",2019-06-02 13:34:21,"3.1124, 101.619485",176 meter,26
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-02 13:36:21,"3.1102167, 101.6160767",130 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:51,"3.110945, 101.61342",80 meter,33
2,RUMAH NO. 57 – JLN SS 4A/1,"3.10763984044263, 101.610927842503",2019-06-02 13:39:59,"3.1091283, 101.611545",178 meter,1
20,SEK MEN SRI PERMATA – JLN SS 3/80,"3.101569, 101.613331",2019-06-02 13:01:40,"3.1022081, 101.6149736",196 meter,Sequence
19,RUMAH NO. 21 – JLN SS 3/80,"3.1016, 101.609357",2019-06-02 13:02:50,"3.10142, 101.6109417",177 meter,20
23,SEK MEN KEB TAMAN SEA  (OPP)– JLN SS2/3,"3.109894, 101.616525",2019-06-02 13:34:45,"3.1105817, 101.618035",184 meter,19
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-02 13:36:30,"3.110695, 101.6145417",199 meter,23
